Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2018","2018","t","2304.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2016","2016","t","600"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2017","2017","t","600"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2018","2018","t","1300"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2016","2016","t","1875.88"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2017","2017","t","1837.85"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2018","2018","t","1798.87"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2016","2016","t","8000.6"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2017","2017","t","7463.04"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2018","2018","t","7645.32"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2016","2016","t","141649"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","t","212000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2018","2018","t","162761.32"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2016","2016","t","5281.79"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2017","2017","t","4649.02"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2018","2018","t","5875"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2016","2016","t","22882.46"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2017","2017","t","21034.01"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2018","2018","t","28722.4"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2016","2016","t","16766.82"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2017","2017","t","16028.16"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2018","2018","t","16017.42"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2016","2016","t","61334.53"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2017","2017","t","62793.03"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2018","2018","t","61637.65"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2016","2016","t","1369.85"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2017","2017","t","1622.36"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2018","2018","t","1671.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2016","2016","t","81053.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2017","2017","t","35964.38"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2018","2018","t","41107.27"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2016","2016","t","6"
