Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","208.18"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","208.37"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2022","2022","t","130.17"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2023","2023","t","129.34"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","129.05"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2022","2022","t","66696"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2023","2023","t","68705.2"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2024","2024","t","68719.1"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","56420.7"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","52062.3"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2024","2024","t","68726.8"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2022","2022","t","9538.8"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2023","2023","t","16122.2"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2024","2024","t","18622"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","1290.44"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2023","2023","t","1232.97"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2024","2024","t","1128.13"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2022","2022","t","7676"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2023","2023","t","7373.5"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2024","2024","t","8444"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2022","2022","t","24357"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2023","2023","t","19695.6"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2024","2024","t","22465.4"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01373","Chestnuts, in shell","2022","2022","t","6022"
